objectId,Place_Name,ACL,Latitude,updatedAt,Longitude,createdAt
TtClKYwPdY,Edmonton (Central Mistatim),null,53.5848,Thu Feb 20 2020 12:14:18 GMT-0800 (hora estándar del Pacífico),-113.6224,Thu Feb 20 2020 12:14:18 GMT-0800 (hora estándar del Pacífico)
GHCOR17www,Red Deer Central,null,52.2316,Thu Feb 20 2020 12:14:18 GMT-0800 (hora estándar del Pacífico),-113.8358,Thu Feb 20 2020 12:14:18 GMT-0800 (hora estándar del Pacífico)
kcsn4fEYRI,Cochrane,null,51.1834,Thu Feb 20 2020 12:14:18 GMT-0800 (hora estándar del Pacífico),-114.4687,Thu Feb 20 2020 12:14:18 GMT-0800 (hora estándar del Pacífico)
uzjnsYAnzh,Edmonton (North Capilano),null,53.5482,Thu Feb 20 2020 12:14:18 GMT-0800 (hora estándar del Pacífico),-113.4318,Thu Feb 20 2020 12:14:18 GMT-0800 (hora estándar del Pacífico)
07dlABuwO7,Edmonton (North Downtown),null,53.5428,Thu Feb 20 2020 12:14:18 GMT-0800 (hora estándar del Pacífico),-113.4974,Thu Feb 20 2020 12:14:18 GMT-0800 (hora estándar del Pacífico)
wViP0YpRhN,Blackfalds,null,52.3834,Thu Feb 20 2020 12:14:18 GMT-0800 (hora estándar del Pacífico),-113.7853,Thu Feb 20 2020 12:14:18 GMT-0800 (hora estándar del Pacífico)
zD1zXyZLgZ,Edmonton (East North Central / West Beverly),null,53.7353,Thu Feb 20 2020 12:14:18 GMT-0800 (hora estándar del Pacífico),-113.3369,Thu Feb 20 2020 12:14:18 GMT-0800 (hora estándar del Pacífico)
C1FBy8LVs3,Edmonton (South Bonnie Doon / East University),null,53.4914,Thu Feb 20 2020 12:14:18 GMT-0800 (hora estándar del Pacífico),-113.4802,Thu Feb 20 2020 12:14:18 GMT-0800 (hora estándar del Pacífico)
QA18BmqhLw,Edmonton (North Clover Bar),null,53.5806,Thu Feb 20 2020 12:14:18 GMT-0800 (hora estándar del Pacífico),-113.3374,Thu Feb 20 2020 12:14:18 GMT-0800 (hora estándar del Pacífico)
lK5NwD52UX,Edmonton (SE Capilano / West Southeast Industrial / East Bonnie Doon),null,53.5128,Thu Feb 20 2020 12:14:18 GMT-0800 (hora estándar del Pacífico),-113.4194,Thu Feb 20 2020 12:14:18 GMT-0800 (hora estándar del Pacífico)
ItlcS0Dbtv,Edmonton Southwest,null,53.4593,Thu Feb 20 2020 12:14:18 GMT-0800 (hora estándar del Pacífico),-113.6546,Thu Feb 20 2020 12:14:18 GMT-0800 (hora estándar del Pacífico)
ttZ4IjPAn4,Edmonton (East Mill Woods),null,53.4593,Thu Feb 20 2020 12:14:18 GMT-0800 (hora estándar del Pacífico),-113.4145,Thu Feb 20 2020 12:14:18 GMT-0800 (hora estándar del Pacífico)
xDpmECpGsP,Edmonton (Central Bonnie Doon),null,53.522,Thu Feb 20 2020 12:14:18 GMT-0800 (hora estándar del Pacífico),-113.459,Thu Feb 20 2020 12:14:18 GMT-0800 (hora estándar del Pacífico)
kVC7M8PKnK,Edmonton (West University / Strathcona Place),null,53.521,Thu Feb 20 2020 12:14:18 GMT-0800 (hora estándar del Pacífico),-113.5324,Thu Feb 20 2020 12:14:18 GMT-0800 (hora estándar del Pacífico)
ocs8yE7RAG,Edmonton (Southgate / North Riverbend),null,53.3753,Thu Feb 20 2020 12:14:18 GMT-0800 (hora estándar del Pacífico),-113.4585,Thu Feb 20 2020 12:14:18 GMT-0800 (hora estándar del Pacífico)
FlALxzR562,Edmonton (Kaskitayo),null,53.4564,Thu Feb 20 2020 12:14:18 GMT-0800 (hora estándar del Pacífico),-113.521,Thu Feb 20 2020 12:14:18 GMT-0800 (hora estándar del Pacífico)
RbA697kWPD,Whitecourt,null,54.1501,Thu Feb 20 2020 12:14:18 GMT-0800 (hora estándar del Pacífico),-115.6855,Thu Feb 20 2020 12:14:18 GMT-0800 (hora estándar del Pacífico)
0pN4LEGSDj,Edmonton (South Industrial),null,53.465,Thu Feb 20 2020 12:14:18 GMT-0800 (hora estándar del Pacífico),-113.4776,Thu Feb 20 2020 12:14:18 GMT-0800 (hora estándar del Pacífico)
